Model,T,skew_level,direction,VARset,rho,param,mean_rel_bias,coverage_95,mean_post_sd,emp_sd,mean_bias,sd_bias,RMSE
Normal–Gaussian (NG),50,Exponential,--,B,0.3,phi22,-0.21823423355090196,0.92,0.14422099004056643,0.1405181886156129,-0.05455855838772549,0.0037028014249535224,0.1507381757391266
Normal–Gaussian (NG),50,Exponential,--,B,0.3,rho,-0.229535606794653,0.895,0.12858598335095303,0.1431719936402321,-0.0688606820383959,-0.014586010289279056,0.15887105870394305
Normal–Gaussian (NG),50,Exponential,--,B,0.5,sigma[1],-0.010727007810257882,0.725,0.10278628742190854,0.18973907063330275,-0.010727007810257882,-0.08695278321139421,0.19004205750662348
Normal–Gaussian (NG),50,Exponential,--,B,0.5,sigma[2],-0.019479090920716535,0.695,0.10204420955938906,0.18398971212568968,-0.019479090920716535,-0.08194550256630062,0.18501796980615612
Normal–Gaussian (NG),50,Exponential,--,B,0.5,mu[1],0.004499047727144957,0.86,0.14900880975931613,0.18155465712005148,0.004499047727144957,-0.03254584736073535,0.18161039329408046
Normal–Gaussian (NG),50,Exponential,--,B,0.5,mu[2],0.011667961866011638,0.925,0.1481889989537266,0.16687284872836236,0.011667961866011638,-0.018683849774635775,0.167280270733956
Normal–Gaussian (NG),50,Exponential,--,B,0.5,phi11,-0.15392115698570857,0.94,0.13462795328664687,0.12235403762767565,-0.08465663634213973,0.012273915658971221,0.14878594221417546
Normal–Gaussian (NG),50,Exponential,--,B,0.5,phi12,-0.006777494260673456,0.95,0.15693342844218222,0.14191431011951403,-6.777494260673462e-4,0.015019118322668196,0.14191592849635357
Normal–Gaussian (NG),50,Exponential,--,B,0.5,phi21,-0.25874169010604237,0.965,0.13605673518845351,0.12325082351034845,-0.025874169010604225,0.012805911678105061,0.12593743731698043
Normal–Gaussian (NG),50,Exponential,--,B,0.5,phi22,-0.20940754225843544,0.965,0.15313107350926086,0.13941257733679907,-0.05235188556460886,0.013718496172461792,0.14891805344503695
Normal–Gaussian (NG),50,Exponential,--,B,0.5,rho,-0.16728453198306537,0.855,0.11478093227568044,0.12690638250324593,-0.08364226599153268,-0.01212545022756549,0.15199098190438295
Normal–Gaussian (NG),100,Exponential,++,A,0.3,sigma[1],-0.00670285332334028,0.675,0.0720142048429935,0.13927935154241372,-0.00670285332334028,-0.06726514669942021,0.13944054650190338
Normal–Gaussian (NG),100,Exponential,++,A,0.3,sigma[2],-5.217410646473731e-4,0.685,0.07255293267639763,0.1300364212800548,-5.217410646473731e-4,-0.057483488603657165,0.13003746795851737
Normal–Gaussian (NG),100,Exponential,++,A,0.3,mu[1],0.008996201422932198,0.925,0.10214680233882062,0.10859492549824429,0.008996201422932198,-0.006448123159423669,0.10896691921868396
Normal–Gaussian (NG),100,Exponential,++,A,0.3,mu[2],-9.667014602035837e-4,0.925,0.10276354724012919,0.11302273828976156,-9.667014602035837e-4,-0.010259191049632368,0.11302687238983963
Normal–Gaussian (NG),100,Exponential,++,A,0.3,phi11,-0.0779334543836839,0.965,0.09663566524414957,0.09813192319835266,-0.031173381753473565,-0.0014962579542030924,0.10296433402181157
Normal–Gaussian (NG),100,Exponential,++,A,0.3,phi12,0.003647678079115819,0.95,0.09813975217926944,0.1020581407589321,3.647678079115879e-4,-0.00391838857966266,0.10205879261839074
Normal–Gaussian (NG),100,Exponential,++,A,0.3,phi21,-0.002450720069125975,0.925,0.0984438519113887,0.10750783561179883,-2.450720069125975e-4,-0.00906398370041013,0.10750811494125517
Normal–Gaussian (NG),100,Exponential,++,A,0.3,phi22,-0.10316079077365725,0.92,0.09739145345782993,0.10197810451093868,-0.041264316309462895,-0.004586651053108751,0.11001035224073841
Normal–Gaussian (NG),100,Exponential,++,A,0.3,rho,-0.17173728708712152,0.915,0.09218369395344762,0.0972400428450427,-0.05152118612613645,-0.005056348891595078,0.11004571119471097
Normal–Gaussian (NG),100,Exponential,++,A,0.5,sigma[1],0.004710928816053382,0.68,0.0724681310747137,0.14155437158148124,0.004710928816053382,-0.06908624050676754,0.14163273973251378
Normal–Gaussian (NG),100,Exponential,++,A,0.5,sigma[2],0.004583964411127581,0.725,0.07251070501666439,0.1392215996795,0.004583964411127581,-0.06671089466283563,0.13929704428680978
Normal–Gaussian (NG),100,Exponential,++,A,0.5,mu[1],-0.0036387646466860984,0.95,0.10286117130701891,0.10154033037448718,-0.0036387646466860984,0.001320840932531736,0.10160550822034195
Normal–Gaussian (NG),100,Exponential,++,A,0.5,mu[2],0.002468428019430359,0.91,0.10279212010995412,0.10901374658696128,0.002468428019430359,-0.006221626477007164,0.1090416896503962
Normal–Gaussian (NG),100,Exponential,++,A,0.5,phi11,-0.10176856677254811,0.91,0.10477187873432897,0.10658982243547906,-0.04070742670901925,-0.0018179437011500849,0.11409857508355277
Normal–Gaussian (NG),100,Exponential,++,A,0.5,phi12,0.08892733047452692,0.94,0.10626593757984577,0.12169572560082281,0.008892733047452693,-0.01542978802097704,0.12202020459974659
Normal–Gaussian (NG),100,Exponential,++,A,0.5,phi21,-0.09992752707002354,0.985,0.10621448186460047,0.0964287589640593,-0.009992752707002355,0.00978572290054118,0.09694514253954113
Normal–Gaussian (NG),100,Exponential,++,A,0.5,phi22,-0.07196157804337706,0.975,0.1049748076749079,0.09259267235311855,-0.028784631217350826,0.012382135321789348,0.09696369407056876
Normal–Gaussian (NG),100,Exponential,++,A,0.5,rho,-0.12651809291305938,0.805,0.08008227101676492,0.10143142009487069,-0.06325904645652969,-0.02134914907810577,0.11954095507838106
Normal–Gaussian (NG),100,Exponential,++,B,0.3,sigma[1],-0.010979959662562724,0.75,0.07174070054245214,0.1329136846940419,-0.010979959662562724,-0.06117298415158977,0.13336643915595367
Normal–Gaussian (NG),100,Exponential,++,B,0.3,sigma[2],-0.005446644779770311,0.73,0.0721134267996217,0.13703107414153823,-0.005446644779770311,-0.06491764734191653,0.1371392767216626
Normal–Gaussian (NG),100,Exponential,++,B,0.3,mu[1],-0.005465885160384271,0.93,0.10177862953358666,0.10930138653803514,-0.005465885160384271,-0.007522757004448488,0.10943796872988587
Normal–Gaussian (NG),100,Exponential,++,B,0.3,mu[2],-0.006074286239287105,0.92,0.10218327644196358,0.10384575793249785,-0.006074286239287105,-0.0016624814905342733,0.10402325890824482
Normal–Gaussian (NG),100,Exponential,++,B,0.3,phi11,-0.06796989676678368,0.95,0.08797845513287282,0.08089934129859112,-0.03738344322173102,0.007079113834281697,0.08911916320106646
Normal–Gaussian (NG),100,Exponential,++,B,0.3,phi12,0.07729097585978224,0.955,0.1033534147102059,0.1003836315916476,0.007729097585978226,0.002969783118558292,0.10068074513540912
Normal–Gaussian (NG),100,Exponential,++,B,0.3,phi21,-0.08961801604316044,0.97,0.08962692658397642,0.08738195439363734,-0.00896180160431604,0.0022449721903390757,0.08784030875200086
Normal–Gaussian (NG),100,Exponential,++,B,0.3,phi22,-0.14050352836992108,0.95,0.1025039162364759,0.09166740955245609,-0.03512588209248027,0.010836506684019809,0.09816690667853675
Normal–Gaussian (NG),100,Exponential,++,B,0.3,rho,-0.15128862048689004,0.88,0.091606593837479,0.10716516636191813,-0.04538658614606701,-0.015558572524439124,0.11638004589865031
Normal–Gaussian (NG),100,Exponential,++,B,0.5,sigma[1],-0.006146878832297429,0.725,0.07178500929770354,0.13003590497281495,-0.006146878832297429,-0.05825089567511141,0.13018110731391827
Normal–Gaussian (NG),100,Exponential,++,B,0.5,sigma[2],0.005669221592994781,0.765,0.07249950810101953,0.12886026929053768,0.005669221592994781,-0.056360761189518147,0.12898491801408554
Normal–Gaussian (NG),100,Exponential,++,B,0.5,mu[1],-0.00843028654474634,0.92,0.10198638015593314,0.10708937512460441,-0.00843028654474634,-0.005102994968671268,0.1074206870011767
Normal–Gaussian (NG),100,Exponential,++,B,0.5,mu[2],0.00855431976379963,0.97,0.10341031631062902,0.09983051395082941,0.00855431976379963,0.0035798023597996137,0.10019634675130666
Normal–Gaussian (NG),100,Exponential,++,B,0.5,phi11,-0.08720809971366385,0.935,0.09410345472044135,0.09067288728312957,-0.047964454842515124,0.0034305674373117795,0.10257758730150945
Normal–Gaussian (NG),100,Exponential,++,B,0.5,phi12,0.11152602279475698,0.945,0.10865072948665705,0.10896262668558193,0.011152602279475699,-3.11897198924882e-4,0.10953188828750128
Normal–Gaussian (NG),100,Exponential,++,B,0.5,phi21,-0.19355642002742904,0.96,0.09610356061638925,0.08686931959205926,-0.019355642002742902,0.009234241024329987,0.0889995481096712
Normal–Gaussian (NG),100,Exponential,++,B,0.5,phi22,-0.08432417349325304,0.94,0.1088723964294528,0.10329853909437639,-0.02108104337331326,0.0055738573350764126,0.10542769355695837
Normal–Gaussian (NG),100,Exponential,++,B,0.5,rho,-0.1436906318013376,0.8,0.08077658478436378,0.09867923999846191,-0.0718453159006688,-0.01790265521409813,0.12206286013174088
Normal–Gaussian (NG),100,Exponential,+-,A,0.3,sigma[1],-0.01350392484293639,0.69,0.07160261355845311,0.14535250684731,-0.01350392484293639,-0.07374989328885688,0.14597844783720976
Normal–Gaussian (NG),100,Exponential,+-,A,0.3,sigma[2],0.01406049589079565,0.755,0.07352813317453577,0.12817558413365285,0.01406049589079565,-0.05464745095911708,0.12894447608446902
