condition_id,Model,param,mcmc_status,dgp_level,direction,T,rho,VARset,N_valid,mean_rel_bias,coverage_95,RMSE,mean_post_sd,emp_sd,sd_bias
5,Exponential (EG),phi11,Clean,Exponential,--,100,0.3,A,200,-0.0025379874082968935,0.955,0.02365602913595125,0.021546891985525708,0.023634235626891483,-0.002087343641365775
5,Exponential (EG),phi12,Clean,Exponential,--,100,0.3,A,200,0.013321159051691522,0.945,0.022219651070048297,0.022100141907646503,0.022179683516450225,-7.954160880372166e-5
5,Exponential (EG),phi21,Clean,Exponential,--,100,0.3,A,200,0.01081888800930908,0.95,0.025025700906734612,0.022212055698852186,0.02500230434371516,-0.002790248644862974
5,Exponential (EG),phi22,Clean,Exponential,--,100,0.3,A,200,-0.006796728756924973,0.92,0.021583955490267794,0.022772822151254445,0.021412049204095986,0.001360772947158459
5,Exponential (EG),rho,Clean,Exponential,--,100,0.3,A,200,-0.07983537055895375,0.935,0.09266222183795877,0.08972971501116274,0.08951343798917229,2.1627702199045196e-4
6,Normal (NG),sigma[1],Clean,Exponential,+-,100,0.3,A,200,-0.013467117815964857,0.69,0.14601591094147767,0.0715977950367268,0.14539354519991754,-0.07379575016319075
6,Normal (NG),sigma[2],Clean,Exponential,+-,100,0.3,A,200,0.014064193731342635,0.755,0.1289457996882025,0.07353202228254886,0.12817650998493174,-0.05464448770238288
6,Normal (NG),mu[1],Clean,Exponential,+-,100,0.3,A,200,-0.0034512633365599817,0.945,0.09925381909693212,0.10098979263119383,0.09919379711810737,0.0017959955130864569
6,Normal (NG),mu[2],Clean,Exponential,+-,100,0.3,A,200,-0.010336458906078134,0.945,0.10845541003078943,0.10390439128637628,0.10796172276427243,-0.0040573314778961506
6,Normal (NG),phi11,Clean,Exponential,+-,100,0.3,A,200,-0.09795303903088795,0.955,0.0986630681844607,0.09481308707460821,0.09054961825822169,0.00426346881638652
6,Normal (NG),phi12,Clean,Exponential,+-,100,0.3,A,200,-0.08781767654645099,0.96,0.08859661921575049,0.09361176523583715,0.08816031699875243,0.0054514482370847245
6,Normal (NG),phi21,Clean,Exponential,+-,100,0.3,A,200,0.07099038180474306,0.95,0.10352019815243324,0.09876200722048806,0.1032764982095695,-0.004514490989081438
6,Normal (NG),phi22,Clean,Exponential,+-,100,0.3,A,200,-0.09315251332125231,0.955,0.09442874283384683,0.09484843278331229,0.08676638147975405,0.00808205130355824
6,Normal (NG),rho,Clean,Exponential,+-,100,0.3,A,200,-1.781800097453451,0,0.5447444370824313,0.09260196611844729,0.10494502787933065,-0.012343061760883359
6,Exponential (EG),mu[1],Clean,Exponential,+-,100,0.3,A,200,0.005761049155871658,0.985,0.08736223257482806,0.09947417254947054,0.08717207117581857,0.012302101373651966
6,Exponential (EG),mu[2],Clean,Exponential,+-,100,0.3,A,200,-0.019836283139738307,0.94,0.10005633260321724,0.10078768165025524,0.0980703398852363,0.002717341765018949
6,Exponential (EG),phi11,Clean,Exponential,+-,100,0.3,A,200,-0.00905556302370523,0.945,0.020660182123956605,0.022013235343663812,0.02034017231802249,0.0016730630256413213
6,Exponential (EG),phi12,Clean,Exponential,+-,100,0.3,A,200,-0.009051972637420943,0.955,0.02265435655857661,0.020462604221712945,0.022636264908258093,-0.002173660686545148
6,Exponential (EG),phi21,Clean,Exponential,+-,100,0.3,A,200,0.01901966072497041,0.965,0.02127540846443011,0.021285919447923667,0.021190222518591317,9.569692933234994e-5
