condition_id,model,param,T,tvp_pattern,margin_type,direction,VARset,N_valid,mean_bias,mean_rel_bias,coverage_95,mean_post_sd,emp_sd,sd_bias,RMSE,mean_n_div,prop_div,mean_rhat
5,TVP_NG,phi21,100,step,normal,++,A,200,-0.014768141261225054,-0.1476814126122505,0.945,0.1135768576194668,0.11766602311085099,-0.004089165491384189,0.11829693371369014,NA,NA,1.002841085652277
5,TVP_NG,phi22,100,step,normal,++,A,200,-0.014467108335652283,-0.036167770839130704,0.955,0.11216780920383924,0.1100921395618345,0.0020756696420047432,0.11076540534359738,NA,NA,1.002841085652277
5,TVP_NG,rho_change,100,step,normal,++,A,200,NA,NA,NA,0.25807015487624974,0.19821086413849429,0.05985929073775545,NA,NA,NA,1.002841085652277
5,TVP_NG,rho_end,100,step,normal,++,A,200,-0.0375907354730673,-0.05370105067581043,0.985,0.14089850647477586,0.0888809104124417,0.052017596062334165,0.09629839327824678,NA,NA,1.002841085652277
5,TVP_NG,rho_mean,100,step,normal,++,A,200,-0.013858443345301619,-0.0230974055755027,0.955,0.06591070967881003,0.05929422391379256,0.006616485765017471,0.060747694742650196,NA,NA,1.002841085652277
5,TVP_NG,rho_range,100,step,normal,++,A,200,0.21398793589951762,0.5349698397487941,0.88,0.2697811018730612,0.23378470224067877,0.035996399632382436,0.3165009435646126,NA,NA,1.002841085652277
5,TVP_NG,rho_sd,100,step,normal,++,A,200,-0.016652921533278346,-0.09566375099579959,0.98,0.06890961479585195,0.06549425502135597,0.003415359774495974,0.06741935737747673,NA,NA,1.002841085652277
5,TVP_NG,rho_start,100,step,normal,++,A,200,0.03674816739700126,0.12249389132333756,0.985,0.21985862365165795,0.17435144495602348,0.045507178695634476,0.1777550619068274,NA,NA,1.002841085652277
5,TVP_NG,sigma[1],100,step,normal,++,A,200,-3.0047187951246504e-5,-3.0047187951246504e-5,0.935,0.07176117496735221,0.0711840320770076,5.771428903446063e-4,0.071005855346304,NA,NA,1.002841085652277
5,TVP_NG,sigma[2],100,step,normal,++,A,200,0.0017412680244502444,0.0017412680244502444,0.96,0.07209629692145672,0.07095703526143657,0.0011392616600201522,0.07080083589309001,NA,NA,1.002841085652277
