Model,param,mcmc_status,skew_level,direction,T,rho,VARset,N_valid,mean_rel_bias,coverage_95,RMSE,mean_post_sd,emp_sd,sd_bias
SG,mu[2],Problematic,extremeCHI,++,50,0.3,A,200,0.19520942167315117,0.51,0.2742622162934681,0.11281089077439391,0.19264746293745721,-0.07983657216306331
SG,phi11,Problematic,extremeCHI,++,50,0.3,A,200,-0.0729269712430185,1,0.048819000628058024,0.06776567237677185,0.03914536908465064,0.02862030329212121
SG,phi12,Problematic,extremeCHI,++,50,0.3,A,200,-0.09552853495538656,0.995,0.044490818639318815,0.06659599617000203,0.043453146414149726,0.023142849755852304
SG,phi21,Problematic,extremeCHI,++,50,0.3,A,200,-0.0714021485090563,1,0.04201779566855745,0.06698996549693263,0.041406671983239024,0.02558329351369361
SG,phi22,Problematic,extremeCHI,++,50,0.3,A,200,-0.07331952423551685,1,0.047337368904380325,0.06785232309242108,0.037157853454280514,0.030694469638140563
SG,rho,Problematic,extremeCHI,++,50,0.3,A,200,-0.24477490797028936,0.885,0.1302147548286654,0.10387302501011084,0.10753396846402402,-0.0036609434539131847
NG,sigma[1],Clean,moderateSN,--,50,0.3,A,200,0.013661607837418337,0.905,0.12259074906418214,0.10639330221640712,0.12182714076680067,-0.015433838550393542
NG,sigma[2],Clean,moderateSN,--,50,0.3,A,200,0.00433403033524809,0.9,0.11543636827040343,0.1055673346574319,0.11535497952196669,-0.009787644864534789
NG,mu[1],Clean,moderateSN,--,50,0.3,A,200,-0.015761578540840235,0.935,0.1677640444723692,0.1504832965455916,0.16702199633469836,-0.01653869978910677
NG,mu[2],Clean,moderateSN,--,50,0.3,A,200,-0.013212234828914147,0.925,0.16299702943588482,0.14919893435538434,0.1624606674113717,-0.013261733055987351
NG,phi11,Clean,moderateSN,--,50,0.3,A,200,-0.174964279955468,0.945,0.13588556831260787,0.1395133986133597,0.11647698396673377,0.02303641464662594
NG,phi12,Clean,moderateSN,--,50,0.3,A,200,-0.04916903936340274,0.97,0.14250163341508207,0.14256373743136128,0.1424167812501295,1.4695618123178322e-4
NG,phi21,Clean,moderateSN,--,50,0.3,A,200,-0.06079710774462416,0.935,0.1473001145372977,0.13980897135560888,0.14717459311851316,-0.007365621762904284
NG,phi22,Clean,moderateSN,--,50,0.3,A,200,-0.22729969162226224,0.91,0.16399416871844016,0.14025833587638167,0.1364831982472573,0.0037751376291243754
NG,rho,Clean,moderateSN,--,50,0.3,A,200,-0.15325206129700114,0.945,0.1369267667655139,0.12784799256197688,0.12897744752706677,-0.0011294549650898988
SG,omega[1],Clean,moderateSN,--,50,0.3,A,144,-0.28219016560542515,0.5138888888888888,0.4795900233206435,0.19058101159716925,0.17703059063796103,0.01355042095920822
SG,omega[1],Problematic,moderateSN,--,50,0.3,A,56,-0.2060903379498865,0.6785714285714286,0.3874377064677148,0.214111128110184,0.21010562022534368,0.004005507884840331
SG,omega[2],Clean,moderateSN,--,50,0.3,A,144,-0.29561218183538573,0.375,0.49186421540465786,0.18104752572622784,0.15464649063430316,0.02640103509192468
SG,omega[2],Problematic,moderateSN,--,50,0.3,A,56,-0.23108164406809487,0.6785714285714286,0.41481899374922093,0.21541373401857522,0.19711392388985724,0.01829981012871798
SG,alpha[1],Clean,moderateSN,--,50,0.3,A,144,0.8291750998620533,0.3958333333333333,3.386242714935507,1.4660846748276795,0.6827431323373766,0.7833415424903029
SG,alpha[1],Problematic,moderateSN,--,50,0.3,A,56,0.30624786218825073,0.6964285714285714,3.380574280433779,5.325018775689866,3.1508218635797838,2.1741969121100824
SG,alpha[2],Clean,moderateSN,--,50,0.3,A,144,0.8533268394993948,0.2847222222222222,3.4888836166360284,1.2900165982825922,0.7222477208485181,0.5677688774340741
SG,alpha[2],Problematic,moderateSN,--,50,0.3,A,56,0.5530882011780418,0.625,2.9327356896951104,3.445542816279315,1.9252100386954312,1.5203327775838837
SG,mu[1],Clean,moderateSN,--,50,0.3,A,144,-0.021762873900276414,0.9236111111111112,0.16947982844575424,0.14686306071508198,0.1680767371458732,-0.021213676430791223
SG,mu[1],Problematic,moderateSN,--,50,0.3,A,56,-8.168358632520029e-4,0.9642857142857143,0.1546550310746617,0.1468046321059564,0.15465287393345484,-0.007848241827498437
SG,mu[2],Clean,moderateSN,--,50,0.3,A,144,-0.021673249552642812,0.9305555555555556,0.15717674819651567,0.14591305629900128,0.15567530448809072,-0.00976224818908944
SG,mu[2],Problematic,moderateSN,--,50,0.3,A,56,0.009861169203643768,0.9464285714285714,0.17059001344278907,0.14808457706285355,0.17030475632919964,-0.02222017926634609
SG,phi11,Clean,moderateSN,--,50,0.3,A,144,-0.1713288944747116,0.9722222222222222,0.1297364255373207,0.1378785927063617,0.11015882033724066,0.027719772369121057
SG,phi11,Problematic,moderateSN,--,50,0.3,A,56,-0.17037215127109417,0.9285714285714286,0.1355012702834072,0.13031104706000565,0.1171167240825087,0.013194322977496953
SG,phi12,Clean,moderateSN,--,50,0.3,A,144,-0.01271695285747666,0.9583333333333334,0.1446025260526319,0.141095526389954,0.14459693403354823,-0.0035014076435942176
SG,phi12,Problematic,moderateSN,--,50,0.3,A,56,-0.029510634195846024,1,0.11659559283660151,0.12845125024741763,0.1165582407795011,0.011893009467916535
SG,phi21,Clean,moderateSN,--,50,0.3,A,144,-0.06428026436144757,0.9305555555555556,0.14679004052615469,0.13779449053080803,0.1466492293665615,-0.008854738835753467
SG,phi21,Problematic,moderateSN,--,50,0.3,A,56,-0.026799295233965983,0.9464285714285714,0.1338246098604852,0.1318644325058477,0.1337977734570374,-0.0019333409511896882
SG,phi22,Clean,moderateSN,--,50,0.3,A,144,-0.24484383986663263,0.8819444444444444,0.1692105239783384,0.139031364494703,0.13798710257745786,0.0010442619172451317
SG,phi22,Problematic,moderateSN,--,50,0.3,A,56,-0.15534580655633828,1,0.1309045443069459,0.13169660090993807,0.11521644232429186,0.016480158585646207
SG,rho,Clean,moderateSN,--,50,0.3,A,144,-0.11222799472404986,0.9444444444444444,0.13767052439445482,0.12605901276023188,0.13349012036500627,-0.00743110760477439
SG,rho,Problematic,moderateSN,--,50,0.3,A,56,-0.25379570807104246,0.9464285714285714,0.1308267088359686,0.12768518525581432,0.10638855302933652,0.021296632226477805
NG,sigma[1],Clean,strongSN,--,50,0.3,A,200,-0.001490198016452556,0.905,0.1164627566925562,0.10481907586886084,0.11645322239552369,-0.01163414652666285
NG,sigma[2],Clean,strongSN,--,50,0.3,A,200,0.020327280600504267,0.885,0.12990132427396067,0.10701209803089523,0.12830103550446134,-0.02128893747356611
NG,mu[1],Clean,strongSN,--,50,0.3,A,200,0.0038872709131425954,0.95,0.1644891870100532,0.14821177474318306,0.16444324786404604,-0.016231473120862983
NG,mu[2],Clean,strongSN,--,50,0.3,A,200,-0.014810407226648448,0.92,0.17115196477835565,0.1513406391086085,0.1705099612494013,-0.019169322140792783
NG,phi11,Clean,strongSN,--,50,0.3,A,200,-0.2038781630811877,0.925,0.15609831892070622,0.13922704899832603,0.13310175171218827,0.006125297286137754
NG,phi12,Clean,strongSN,--,50,0.3,A,200,-0.17676163141018733,0.95,0.15046279777656232,0.1386573805688416,0.14942090473345013,-0.010763524164608518
