condition_id,Model,param,mcmc_status,T,theta,VARset,N_valid,mean_bias,mean_rel_bias,coverage_95,RMSE,mean_post_sd,emp_sd,sd_bias
8,NC (Clayton copula),phi21,Clean,100,2,A,200,-0.009038243959944094,-0.09038243959944094,0.96,0.10581519912410856,0.11066041333286566,0.10542849003848664,0.005231923294379021
8,NC (Clayton copula),phi22,Clean,100,2,A,200,-0.03278528852001519,-0.08196322130003797,0.95,0.10955384047930526,0.11054720957054656,0.10453309916205691,0.006014110408489648
8,NC (Clayton copula),sigma[1],Clean,100,2,A,200,-0.0034971388114999748,-0.0034971388114999748,0.94,0.06447948553124583,0.0665225970218806,0.06438457947759883,0.0021380175442817645
8,NC (Clayton copula),sigma[2],Clean,100,2,A,200,-0.0037238298346675175,-0.0037238298346675175,0.94,0.06875350058958314,0.06648568268969435,0.06865258141311402,-0.002166898723419672
8,NC (Clayton copula),theta,Clean,100,2,A,200,-0.020543776699531724,-0.010271888349765862,0.945,0.3621200358506226,0.3732840751685009,0.3615368219191179,0.011747253249382972
8,NG (Gaussian copula),mu[1],Clean,100,2,A,200,0.00843253843258122,0.00843253843258122,0.93,0.11371224290358918,0.10169603548470246,0.11339914674171013,-0.011703111257007667
8,NG (Gaussian copula),mu[2],Clean,100,2,A,200,-0.0011688624202868534,-0.0011688624202868534,0.945,0.10815601269445523,0.10207522377430649,0.1081496964517497,-0.00607447267744321
8,NG (Gaussian copula),phi11,Clean,100,2,A,200,-0.034660003631983245,-0.08665000907995811,0.965,0.11315117009027248,0.12357676097690844,0.10771198373917677,0.015864777237731664
8,NG (Gaussian copula),phi12,Clean,100,2,A,200,-0.017477588899287074,-0.17477588899287072,0.965,0.11565389905859881,0.12363298271774549,0.11432566751925868,0.009307315198486807
8,NG (Gaussian copula),phi21,Clean,100,2,A,200,-0.009248897153882073,-0.09248897153882071,0.96,0.11465346047979276,0.12411226752021352,0.11427980530884847,0.00983246221136505
8,NG (Gaussian copula),phi22,Clean,100,2,A,200,-0.0405176396749937,-0.10129409918748425,0.96,0.12149557148122904,0.12349529473931017,0.11454036303730582,0.008954931702004357
8,NG (Gaussian copula),sigma[1],Clean,100,2,A,200,-0.005692758713225545,-0.005692758713225545,0.925,0.0707947491822481,0.07120193951929331,0.07056549447152208,6.364450477712308e-4
8,NG (Gaussian copula),sigma[2],Clean,100,2,A,200,-0.002795407089509171,-0.002795407089509171,0.925,0.07394264172095003,0.07135775755231022,0.07388978254046158,-0.00253202498815136
8,NG (Gaussian copula),rho,Clean,100,2,A,200,NA,NA,NA,NA,0.056822627182668284,0.06418477843450834,-0.00736215125184006
9,NC (Clayton copula),mu[1],Clean,200,2,A,200,0.006103424456709166,0.006103424456709166,0.92,0.0829047974247377,0.07059311320464265,0.0826798261121662,-0.012086712907523556
9,NC (Clayton copula),mu[2],Clean,200,2,A,200,0.007617117105927675,0.007617117105927675,0.92,0.07686773248634955,0.07072140253463918,0.07648939681150312,-0.005767994276863933
9,NC (Clayton copula),phi11,Clean,200,2,A,200,-0.019089268894249032,-0.04772317223562258,0.975,0.07714417072534617,0.07883202826878315,0.07474505261209208,0.004086975656691069
9,NC (Clayton copula),phi12,Clean,200,2,A,200,9.298878034650599e-4,0.009298878034650597,0.975,0.07353362667710081,0.0788099624642783,0.07352774687803373,0.00528221558624456
9,NC (Clayton copula),phi21,Clean,200,2,A,200,-0.007936325015080728,-0.07936325015080728,0.955,0.07847754069260059,0.07889300955081546,0.07807521462291209,8.177949279033758e-4
9,NC (Clayton copula),phi22,Clean,200,2,A,200,-0.014254969396339872,-0.035637423490849675,0.965,0.07498293138524977,0.0789613736933644,0.07361545929106526,0.005345914402299132
9,NC (Clayton copula),sigma[1],Clean,200,2,A,200,-0.002061096348007945,-0.002061096348007945,0.955,0.043529784460389936,0.04665517299407119,0.043480961546546244,0.003174211447524944
9,NC (Clayton copula),sigma[2],Clean,200,2,A,200,-0.0014757815352895638,-0.0014757815352895638,0.93,0.046960316491415605,0.04673326064433234,0.04693712170376469,-2.0386105943234756e-4
