model,condition_id,rep_id,param,post_mean,post_sd,l95,u95,truth,bias,rel_bias,cover95,n_div,max_rhat,status
EI,1,10,sigma_exp[1],1.5579788167457282,0.20095317317128922,1.2041420505398517,1.9830671980776382,1,0.5579788167457282,0.5579788167457282,0,0,1.0033483972105826,ok
EI,1,10,sigma_exp[2],1.3883457897961893,0.1550459933468104,1.1134408712969959,1.7170653747198572,1,0.3883457897961893,0.3883457897961893,0,0,1.0033483972105826,ok
EI,1,11,mu[1],-0.058773120478301806,0.13790767893107472,-0.332382004834752,0.2141552290249314,0,-0.058773120478301806,-0.058773120478301806,1,0,1.0057501530543305,ok
EI,1,11,mu[2],-0.15493844932402462,0.13257907738545296,-0.41814668582856646,0.1039586067134233,0,-0.15493844932402462,-0.15493844932402462,1,0,1.0057501530543305,ok
EI,1,11,phi11,0.056244837743452326,0.177856565329135,-0.29179668003586023,0.39911424784559063,0.55,-0.4937551622565477,-0.8977366586482685,0,0,1.0057501530543305,ok
EI,1,11,phi12,-0.16342681640346476,0.15461402057137053,-0.4700855756018982,0.13854880643357448,0.1,-0.26342681640346477,-2.6342681640346477,1,0,1.0057501530543305,ok
EI,1,11,phi21,-0.09499876547308718,0.16601278134476186,-0.4117397414389219,0.2295633944689216,0.1,-0.1949987654730872,-1.9499876547308719,1,0,1.0057501530543305,ok
EI,1,11,phi22,0.09983335557683926,0.16870191303903562,-0.23388393466728807,0.42614231596065394,0.25,-0.15016664442316074,-0.600666577692643,1,0,1.0057501530543305,ok
EI,1,11,rho,0.9140289808802957,0.03799832547682677,0.8180553611576913,0.9611461010212561,0.3,0.6140289808802957,2.046763269600986,0,0,1.0057501530543305,ok
EI,1,11,sigma_exp[1],1.328231119237623,0.16561018481487885,1.0319310217011064,1.6765407536250754,1,0.32823111923762305,0.32823111923762305,0,0,1.0057501530543305,ok
EI,1,11,sigma_exp[2],1.2964424356776825,0.16329216967285756,1.00586232533732,1.6503078741272548,1,0.29644243567768247,0.29644243567768247,0,0,1.0057501530543305,ok
EI,1,12,mu[1],0.19698431111621093,0.12322947841114115,-0.0421185739131268,0.4352884558807905,0,0.19698431111621093,0.19698431111621093,1,0,1.0035151365915487,ok
EI,1,12,mu[2],-0.2183848690840471,0.12686134776194957,-0.46578779351012917,0.03311947848423176,0,-0.2183848690840471,-0.2183848690840471,1,0,1.0035151365915487,ok
EI,1,12,phi11,0.24414505923835786,0.15181465860791385,-0.0697523006876804,0.5290664646981882,0.55,-0.3058549407616422,-0.5560998922938949,0,0,1.0035151365915487,ok
EI,1,12,phi12,0.043456843551043664,0.1566520528787535,-0.2759850468944637,0.34367205685184776,0.1,-0.05654315644895634,-0.5654315644895633,1,0,1.0035151365915487,ok
EI,1,12,phi21,0.014200935555112303,0.14638345988225285,-0.2825293857355689,0.2897944048623566,0.1,-0.0857990644448877,-0.857990644448877,1,0,1.0035151365915487,ok
EI,1,12,phi22,0.2027292137468549,0.16142767595543883,-0.13353181751890092,0.49575175832355384,0.25,-0.0472707862531451,-0.1890831450125804,1,0,1.0035151365915487,ok
EI,1,12,rho,0.9114371997684251,0.04030741360550495,0.8110584203833572,0.9607935161418829,0.3,0.6114371997684251,2.038123999228084,0,0,1.0035151365915487,ok
EI,1,12,sigma_exp[1],1.1826664977161514,0.1501006427071675,0.9198514399024483,1.5065430468571395,1,0.1826664977161514,0.1826664977161514,1,0,1.0035151365915487,ok
EI,1,12,sigma_exp[2],1.253604972268962,0.16610290212489937,0.9660390276306628,1.6141415469455627,1,0.25360497226896195,0.25360497226896195,1,0,1.0035151365915487,ok
EI,1,13,mu[1],0.04256788970192728,0.1164484971176332,-0.17082020183952315,0.28959861806667375,0,0.04256788970192728,0.04256788970192728,1,0,20.64746149980423,ok
EI,1,13,mu[2],0.06530477147444848,0.14054607263977673,-0.1888119181719787,0.36552298842874903,0,0.06530477147444848,0.06530477147444848,1,0,20.64746149980423,ok
EI,1,13,phi11,0.34076960054099004,0.13503547159568463,0.06825960309416762,0.5900528766758475,0.55,-0.20923039945901,-0.3804189081072909,1,0,20.64746149980423,ok
EI,1,13,phi12,0.29891531982656544,0.14499697697120426,0.01161835131542588,0.5828408287071941,0.1,0.19891531982656543,1.9891531982656543,1,0,20.64746149980423,ok
EI,1,13,phi21,0.12011481686477324,0.1324616294155657,-0.1409838247211901,0.38668024636852366,0.1,0.020114816864773233,0.20114816864773233,1,0,20.64746149980423,ok
EI,1,13,phi22,0.15325695450090382,0.15717709450310677,-0.15568596771846674,0.46139682421721767,0.25,-0.09674304549909618,-0.3869721819963847,1,0,20.64746149980423,ok
EI,1,13,rho,0.4540134567514005,0.791916766675624,-0.9541011833214325,0.9593794846473604,0.3,0.1540134567514005,0.513378189171335,1,0,20.64746149980423,ok
EI,1,13,sigma_exp[1],1.1328125017517598,0.19252653780208087,0.8319181999320954,1.5704772929326096,1,0.13281250175175985,0.13281250175175985,1,0,20.64746149980423,ok
EI,1,13,sigma_exp[2],1.1503919033170626,0.20384213969002282,0.841045445431876,1.6152505557884618,1,0.15039190331706265,0.15039190331706265,1,0,20.64746149980423,ok
EI,1,14,mu[1],-0.1667587549600624,0.13733413916542828,-0.43804528058894576,0.09864793466459178,0,-0.1667587549600624,-0.1667587549600624,1,7,25.15237566520177,ok
EI,1,14,mu[2],-0.2937478538406894,0.15294528813611266,-0.5936004981045804,0.00694299102130814,0,-0.2937478538406894,-0.2937478538406894,1,7,25.15237566520177,ok
EI,1,14,phi11,0.5810932075416375,0.10811144698037374,0.35379768232018866,0.7766096401647948,0.55,0.03109320754163747,0.05653310462115903,1,7,25.15237566520177,ok
EI,1,14,phi12,0.27626049520882034,0.1277370760833214,0.028410489764120767,0.5405376241313439,0.1,0.17626049520882034,1.7626049520882032,1,7,25.15237566520177,ok
EI,1,14,phi21,0.09027535540550355,0.10503863403463774,-0.11204933348296979,0.30126555242909586,0.1,-0.009724644594496457,-0.09724644594496457,1,7,25.15237566520177,ok
EI,1,14,phi22,0.35884022788065667,0.14591217218602573,0.06088420548324167,0.6286214701617134,0.25,0.10884022788065667,0.4353609115226267,1,7,25.15237566520177,ok
EI,1,14,rho,0.0016901623405588845,0.9133793454422879,-0.9572205345956957,0.9576337024706236,0.3,-0.2983098376594411,-0.9943661255314703,1,7,25.15237566520177,ok
EI,1,14,sigma_exp[1],1.2127059790056263,0.21440582412451123,0.852258306833693,1.6620553537095941,1,0.21270597900562627,0.21270597900562627,1,7,25.15237566520177,ok
EI,1,14,sigma_exp[2],1.2567126352377145,0.2397230391216919,0.864446788808622,1.762809797210933,1,0.2567126352377145,0.2567126352377145,1,7,25.15237566520177,ok
EI,1,15,mu[1],-0.11579567153306104,0.1207150776095943,-0.3609775042888484,0.11148264862167852,0,-0.11579567153306104,-0.11579567153306104,1,0,20.74369752489262,ok
EI,1,15,mu[2],-0.28211993005511055,0.17066121438522325,-0.5946469402702366,0.08647076650392763,0,-0.28211993005511055,-0.28211993005511055,1,0,20.74369752489262,ok
EI,1,15,phi11,0.48542970931883345,0.12052723528671426,0.23637273729880273,0.7080733764516979,0.55,-0.0645702906811666,-0.11740052851121198,1,0,20.74369752489262,ok
EI,1,15,phi12,-0.011227789332074314,0.14343455625074594,-0.3035610821353663,0.26525441227109037,0.1,-0.11122778933207432,-1.1122778933207431,1,0,20.74369752489262,ok
EI,1,15,phi21,0.10514662366721544,0.13116765142270714,-0.14902075423270617,0.36688961852331636,0.1,0.005146623667215439,0.051466236672154386,1,0,20.74369752489262,ok
EI,1,15,phi22,0.04660966303230161,0.18373019341473287,-0.32583840003497755,0.39183059262453807,0.25,-0.2033903369676984,-0.8135613478707936,1,0,20.74369752489262,ok
EI,1,15,rho,0.4583328481694574,0.7886445545626496,-0.9496248392724117,0.9602051272010934,0.3,0.15833284816945742,0.5277761605648581,1,0,20.74369752489262,ok
EI,1,15,sigma_exp[1],1.1941912074648475,0.17044825229587818,0.9006088586377389,1.571597583910197,1,0.19419120746484753,0.19419120746484753,1,0,20.74369752489262,ok
